item.id;sentence;word.serial.no;word.id;morph.structure;number.morphemes;morphemes;stress.pos;stress.pos.syl;has.stress.variant;form.suff
11;Очень тогда злые попадались люди.;99;очень;(-очень- (корень));1;(-очень- (корень));1;1;;()
;;100;тогда;(-тогда- (корень));1;(-тогда- (корень));5;2;;()
;;101;злые;(-зл- (корень), -ые (окончание));2;(-зл- (корень), -ые (окончание));3;1;;()
;;102;попадались;(-сь(постфикс), -а (суффикс), -л (суффикс), -попад- (корень), -и (окончание));5;(-сь(постфикс), -а (суффикс), -л (суффикс), -попад- (корень), -и (окончание));6;3;;(-а (суффикс), -л (суффикс),  )
;;103;люди;(-люд- (корень), -и (окончание));2;(-люд- (корень), -и (окончание));2;1;;()
12;На привале у озера юный турист вручил товарищам ведро и кувшин.;104;на;(-на- (корень));1;(-на- (корень));2;1;;()
;;105;привале;(при- (приставка), -вал- (корень), -е (окончание));3;(при- (приставка), -вал- (корень), -е (окончание));5;2;;()
;;106;у;(-у- (корень));1;(-у- (корень));1;1;;()
;;107;озера;(-озер- (корень), -а (окончание));2;(-озер- (корень), -а (окончание));1;1;;()
;;108;юный;(-юн- (корень), -ый (окончание));2;(-юн- (корень), -ый (окончание));1;1;;()
;;109;турист;(-ист (суффикс), -тур- (корень));2;(-ист (суффикс), -тур- (корень));4;2;;()
;;110;вручил;(в- (приставка), -л (суффикс), -и (суффикс), -руч- (корень));4;(в- (приставка), -л (суффикс), -и (суффикс), -руч- (корень));5;2;;(-л (суффикс), -и (суффикс))
;;111;товарищам;(-товарищ- (корень), -ам (окончание));2;(-товарищ- (корень), -ам (окончание));4;2;;()
;;112;ведро;(-ведр- (корень), -о (окончание));2;(-ведр- (корень), -о (окончание));5;2;;()
;;113;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;114;кувшин;(-кувшин- (корень));1;(-кувшин- (корень));5;2;;()
13;Наживка, на которую он ловил рыбу, быстро закончилась.;115;наживка;(-к (суффикс), -нажив- (корень), -а (окончание));3;(-к (суффикс), -нажив- (корень), -а (окончание));4;2;;()
;;116;на;(-на- (корень));1;(-на- (корень));2;1;;()
;;117;которую;(-котор- (корень), -ую (окончание));2;(-котор- (корень), -ую (окончание));4;2;;()
;;118;он;(-он- (корень));1;(-он- (корень));1;1;;()
;;119;ловил;(-л (суффикс), -и (суффикс), -лов- (корень));3;(-л (суффикс), -и (суффикс), -лов- (корень));4;2;;(-л (суффикс), -и (суффикс))
;;120;рыбу;(-рыб- (корень), -у (окончание));2;(-рыб- (корень), -у (окончание));2;1;;()
;;121;быстро;(-о (суффикс), -быстр- (корень));2;(-о (суффикс), -быстр- (корень));2;1;;()
;;122;закончилась;(-сь(постфикс), за- (приставка), -л (суффикс), -и (суффикс), -конч- (корень), -а (окончание));6;(-сь(постфикс), за- (приставка), -л (суффикс), -и (суффикс), -конч- (корень), -а (окончание));4;2;;(-л (суффикс), -и (суффикс))
14;Мне было лень идти на стоянку и сметать снег с машины.;123;мне;(-мн- (корень), -е (окончание));2;(-мн- (корень), -е (окончание));3;1;;()
;;124;было;(-л (суффикс), -бы- (корень), -о (окончание));3;(-л (суффикс), -бы- (корень), -о (окончание));2;1;;(-л (суффикс))
;;125;лень;(-лень- (корень));1;(-лень- (корень));2;1;;()
;;126;идти;(-ид- (корень), -ти (суффикс));2;(-ид- (корень), -ти (суффикс));4;2;;(-ти (суффикс))
;;127;на;(-на- (корень));1;(-на- (корень));2;1;;()
;;128;стоянку;(-к (суффикс), -н (суффикс), -я (суффикс), -сто- (корень), -у (окончание));5;(-к (суффикс), -н (суффикс), -я (суффикс), -стоj- (корень), -у (окончание));4;2;;()
;;129;и;(-и- (корень));1;(-и- (корень));1;1;;()
;;130;сметать;(с- (приставка), -а (суффикс), -мет- (корень), -ть (суффикс));4;(с- (приставка), -а (суффикс), -мет- (корень), -ть (суффикс));5;2;;(-а (суффикс),  -ть (суффикс))
;;131;снег;(-снег- (корень));1;(-снег- (корень));3;1;;()
;;132;с;(-с- (корень));1;(-с- (корень));;;;()
;;133;машины;(-машин- (корень), -ы (окончание));2;(-машин- (корень), -ы (окончание));4;2;;()
15;Город, раскинувшийся вдоль реки, состоял из двух частей.;134;город;(-город- (корень));1;(-город- (корень));2;1;;()
;;135;раскинувшийся;(рас- (приставка), -ся (постфикс), -вш (суффикс), -ну (суффикс), -ки- (корень), -ий (окончание));6;(рас- (приставка), -ся (постфикс), -вш (суффикс), -ну (суффикс), -ки- (корень), -ий (окончание));5;2;;(-вш (суффикс), -ну (суффикс))
;;136;вдоль;(в- (приставка), -доль- (корень));2;(в- (приставка), -доль- (корень));3;1;;()
;;137;реки;(-рек- (корень), -и (окончание));2;(-рек- (корень), -и (окончание));4;2;1;()
;;138;состоял;(-л (суффикс), -я (суффикс), -состо- (корень));3;(-л (суффикс), -я (суффикс), -состоj- (корень));6;3;;(-л (суффикс), -я (суффикс))
