relwnS	nwS	lmod	dur
0.333333333333333	6	Line 2	205.213333333333
0.333333333333333	6	Line 3	228.463414634146
0.333333333333333	6	Line 4	219.571428571429
0.333333333333333	6	Line 5	245.571428571429
0.333333333333333	9	Line 1	167.571428571429
0.333333333333333	9	Line 2	208.65625
0.333333333333333	9	Line 3	234.566037735849
0.333333333333333	9	Line 4	211.206896551724
0.333333333333333	9	Line 5	206.09375
0.333333333333333	12	Line 1	187.71875
0.333333333333333	12	Line 2	209.333333333333
0.333333333333333	12	Line 3	188.426829268293
0.333333333333333	12	Line 4	207.871794871795
0.333333333333333	12	Line 5	196.190476190476
0.333333333333333	15	Line 1	197.075471698113
0.333333333333333	15	Line 2	216.5625
0.333333333333333	15	Line 3	210.797619047619
0.333333333333333	15	Line 4	210.161290322581
0.333333333333333	15	Line 5	220.416666666667
0.357142857142857	14	Line 1	196.358208955224
0.357142857142857	14	Line 2	190.903846153846
0.357142857142857	14	Line 3	193.641025641026
0.357142857142857	14	Line 4	209.5
0.357142857142857	14	Line 5	189.205882352941
0.363636363636364	11	Line 1	192.405405405405
0.363636363636364	11	Line 2	216.095238095238
0.363636363636364	11	Line 3	191.6
0.363636363636364	11	Line 4	201.833333333333
0.363636363636364	11	Line 5	227.157894736842
0.375	8	Line 1	199.375
0.375	8	Line 2	196.690909090909
0.375	8	Line 3	202.577464788732
0.375	8	Line 4	208.175
0.375	8	Line 5	208.264705882353
0.384615384615385	13	Line 1	203.443298969072
0.384615384615385	13	Line 2	216.328358208955
0.384615384615385	13	Line 3	226.807017543860
0.384615384615385	13	Line 4	221.145833333333
0.384615384615385	13	Line 5	192.083333333333
0.4	5	Line 1	212.088888888889
0.4	5	Line 2	196.525
0.4	5	Line 3	211.25
0.4	5	Line 4	187.15
0.4	5	Line 5	208.185185185185
0.4	10	Line 1	188.126760563380
0.4	10	Line 2	192.012195121951
0.4	10	Line 3	217.480769230769
0.4	10	Line 4	190.45
0.4	10	Line 5	212.097222222222
0.4	15	Line 1	184.285714285714
0.4	15	Line 2	206.712121212121
0.4	15	Line 3	193.148148148148
0.4	15	Line 4	226.538461538462
0.4	15	Line 5	222.755555555556
0.416666666666667	12	Line 1	200.82
0.416666666666667	12	Line 2	207.440677966102
0.416666666666667	12	Line 3	202.955555555556
0.416666666666667	12	Line 4	192.727272727273
0.416666666666667	12	Line 5	194.84
0.428571428571429	7	Line 1	193.203389830508
0.428571428571429	7	Line 2	195.785714285714
0.428571428571429	7	Line 3	197.181818181818
0.428571428571429	7	Line 4	212.857142857143
0.428571428571429	7	Line 5	219.054054054054
0.428571428571429	14	Line 1	196.095890410959
0.428571428571429	14	Line 2	200.295454545455
